[INFO] | 2026-09-17 12:18:49 PM | analyzer.AccountingEngine | Analysis started at: 2026-09-17 12:18:49 PM
[INFO] | 2026-09-17 12:18:53 PM | analyzer.AccountingEngine | Version constraints: ['^0.6.7', '^0.6.7']
[INFO] | 2026-09-17 12:18:53 PM | analyzer.AccountingEngine | solc version: v0.6.7
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Callgraph generation started!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Callgraph generation finished!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Interprocedural CFG generation started!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Storage dependency graph generation started!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Storage dependency graph generation finished!
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Value Range Analysis started
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for startAuction
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for startAuction
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | State variable assignement do not exist
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function startAuction
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for protocolToken
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for protocolToken
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | State variable assignement do not exist
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function protocolToken
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for disableContract
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for disableContract
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | State variable assignement do not exist
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function disableContract
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for contractEnabled
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for contractEnabled
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | State variable assignement do not exist
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function contractEnabled
