[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function transferFrom
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function approve
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function allowance
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function migrateOutByPayout
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function migrateIn
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
