[INFO] | 2026-09-17 12:29:08 PM | analyzer.ArroToken | Analysis started at: 2026-09-17 12:29:08 PM
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Version constraints: ['^0.4.24']
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | solc version: v0.4.24
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Callgraph generation started!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Callgraph generation finished!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Interprocedural CFG generation started!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Storage dependency graph generation started!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Storage dependency graph generation finished!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Value Range Analysis started
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Generating return summary for safeAdd
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Return summary generated for safeAdd
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Processed function safeAdd
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Generating return summary for safeSub
[WARNING] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | No lvalue eligible assignment, is this some bug!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Return summary generated for safeSub
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Processed function safeSub
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Generating return summary for safeMul
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Return summary generated for safeMul
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Processed function safeMul
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Generating return summary for safeDiv
[WARNING] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | No lvalue eligible assignment, is this some bug!
[INFO] | 2026-09-17 12:29:10 PM | analyzer.ArroToken | Return summary generated for safeDiv
